id,tipo,precio_usd,m2_cubiertos,m2_totales,ambientes,dormitorios,banos,anio_construccion,piso,direccion,barrio,ciudad,orientacion,disposicion,balcon,cochera,expensas_usd,apto_credito,estado,content
1,Departamento,409384,136,166,6,4,2,2018,24,Calle 9818,Nuñez,Buenos Aires,Sur,Frente,True,False,216,True,Bueno,"Departamento de 6 ambientes, 4 dormitorios y 2 baños. Ubicado en Nuñez, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 409384."
2,Departamento,353600,162,178,5,4,2,2012,19,Calle 5286,Palermo,Buenos Aires,Noroeste,Contrafrente,False,True,172,False,Excelente,"Departamento de 5 ambientes, 4 dormitorios y 2 baños. Ubicado en Palermo, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 353600."
3,Departamento,152919,121,148,5,4,1,2008,9,Calle 8873,Recoleta,Buenos Aires,Sudoeste,Frente,True,True,205,True,Bueno,"Departamento de 5 ambientes, 4 dormitorios y 1 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Bueno. Precio: USD 152919."
4,Departamento,196076,106,127,3,1,3,2005,6,Calle 3387,Almagro,Buenos Aires,Sudeste,Lateral,True,False,297,True,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 3 baños. Ubicado en Almagro, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 196076."
5,Departamento,299862,171,182,3,2,3,2015,17,Calle 966,Recoleta,Buenos Aires,Oeste,Contrafrente,False,False,369,True,Bueno,"Departamento de 3 ambientes, 2 dormitorios y 3 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: False, cochera: False. Estado: Bueno. Precio: USD 299862."
6,Departamento,308205,55,71,5,3,3,1996,24,Calle 5298,Flores,Buenos Aires,Sudeste,Frente,True,True,368,False,Bueno,"Departamento de 5 ambientes, 3 dormitorios y 3 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Bueno. Precio: USD 308205."
7,Departamento,116371,67,79,3,1,2,2006,30,Calle 4431,Recoleta,Buenos Aires,Sudeste,Contrafrente,False,True,222,False,Excelente,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en Recoleta, Buenos Aires. Cuenta con balcón: False, cochera: True. Estado: Excelente. Precio: USD 116371."
8,Departamento,201384,111,114,3,2,3,2019,3,Calle 8190,San Telmo,Buenos Aires,Sur,Lateral,True,False,138,False,Bueno,"Departamento de 3 ambientes, 2 dormitorios y 3 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Bueno. Precio: USD 201384."
9,Departamento,74921,46,68,4,2,1,2015,24,Calle 8908,Flores,Buenos Aires,Sudeste,Lateral,True,True,308,False,Muy Bueno,"Departamento de 4 ambientes, 2 dormitorios y 1 baños. Ubicado en Flores, Buenos Aires. Cuenta con balcón: True, cochera: True. Estado: Muy Bueno. Precio: USD 74921."
10,Departamento,312961,125,151,3,1,2,2025,1,Calle 6850,San Telmo,Buenos Aires,Sudoeste,Lateral,True,False,162,False,Muy Bueno,"Departamento de 3 ambientes, 1 dormitorios y 2 baños. Ubicado en San Telmo, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Muy Bueno. Precio: USD 312961."
11,Departamento,115689,53,55,4,3,1,2009,14,Calle 4466,Almagro,Buenos Aires,Sudeste,Contrafrente,True,False,197,True,Excelente,"Departamento de 4 ambientes, 3 dormitorios y 1 baños. Ubicado en Almagro, Buenos Aires. Cuenta con balcón: True, cochera: False. Estado: Excelente. Precio: USD 115689."
